id,place_name,category,rating,sentiment,sentiment_score,text,label
1,The Luigans Spa＆Resort,호텔,2,부정,0.560534,저녁 식사로 이용했습니다. 음료를 부탁하지 않으면 분명히 점원의 태도가 바뀌어서 유감이었습니다. 그 밖에도 이용하려고 생각했습니다만. . . 죄송합니다.,부정
2,그랜드 머큐어 벳푸완 리조트 & 스파,료칸,5,긍정,0.688708246,"신문 전단지에서 이 호텔을 처음 알았습니다. 집 근처의 시설의 선전용이었습니다만, 벳푸에게 가기로 했습니다. 전단지에서도, 구래의 호텔 체인을 싸게 사서 재생하는 비즈니스라고는 곧 알았습니다만, 같은 업태의 모 체인보다 1인당 7000엔 높기 때문에,…",긍정
3,니시테츠 인 후쿠오카,호텔,5,부정,0.539902687,직장에서 이용했습니다. 심야는 대로 쪽이 아니라 뒷문만 넣습니다. 카드를 터치하여 들어갑니다.…,긍정
4,A GOOD DAY FUKUOKA RIVERSIDE,호텔,5,긍정,0.983435929,완벽하게 갖춰져 있습니다,긍정
5,산라이프호텔 2.3,호텔,2,부정,0.947906733,"1박 14000엔. 입지는 최고. JR 하카타역 바로, 지하철은 직결. 한편, 침대 매트리스가 최악. 대각선으로 기울어져 제대로 잠을 잘 수 없다. 대각선으로 되어 있는 것을 보충하도록 시트 아래의 깔개 패드가…",부정
6,Oniyama Hotel,료칸,4,긍정,0.657909214,저녁으로 나온 음식은 맛 있었고 지하보단 옥상 탕이좋네요,긍정
7,후지노엔,료칸,4,부정,0.57279247,"원천을 흘려 가수, 가온, 없음 여과 순환은 물론 없습니다. 완전 걸려 흘러 온천입니다. 분수 온 45.4℃ 용출량 100리터/분 온천 숙소이지만 들러 온천이나 당일치기의 사람들이 많이 뜨거운 물 자랑 의 뜨거운 곳 에 숙박도 가능합니다. 느낌입니다. 건물의 외관은 아파트와 같습니다. 주차장은 골프 연습장입니다. 그물 아래 요금은 1시간 400엔~ 저녁 5시까지 800엔 그리고 몇 가지 있습니다. 효능은 여러 가지가 있습니다. 내 목적은 만성 피부병 연일, 무더운 날, Asemo, 조금 할 수 있습니다. Asemo의 약은 사용할 수 없습니다. 개 두 마리와 함께 자고 있기 때문에 10시 30분~3시까지 들어가서 나가고 나서 들어가서 4 번 효과는 납득입니다.",긍정
8,스테이 에어포트,게스트하우스,5,긍정,0.992274463,"일본 아파트치고는 방이 넓었고, 무료로 제공된 라멘도 맛있었어요. 다음에 또 묵을 의향이 있습니다.",긍정
9,라이프텐진후쿠오카,호텔,1,부정,0.996871293,"외국 관광객을 위한 도미토리 같은 싼 호텔. 유감스럽지만 구미에서는, 이 정도의 질로 제대로 돈을 가져오기 때문에, 외국 관광객에게 있어서는 보통. 욕조도 없고 1만도 걸리기 때문에 일본의 표준이 아닐 수 없다. 두 번 다시 묵지 않을 것입니다.",부정
10,니시테츠 인 후쿠오카,호텔,5,긍정,0.994593322,위치가 좋았어요. 높은 층에서 보이는 전망이 아름다웠어요. 아침 식사도 맛있었어요.…,긍정
11,롯포칸,료칸,2,부정,0.991554558,따뜻한 물은 비교적 좋지만 서비스가 잘 알려져 있지 않다. 식사의 재료가 손상되었습니다.,부정
12,프리미어 호텔 모지코,호텔,2,부정,0.968821645,"여행사의 플랜(프리미어 해협 디럭스 트윈)이었습니다만, 숙박비에 비해서는 방은 좁아서 청소가 지나치지 않아 침대사이드 테이블이나 침대의 베개원에 하얀 먼지가 쌓여 있어 모처럼의 여행이 엉망인 기분이었습니다. 엘리베이터 앞의 융단에 약간의 단차가 있었고, 주인은 얽혀 벽에 머리를 부딪히게 되었습니다. 동경했던 호텔에만 꽉 찼습니다.",부정
13,더 레지덴셜 스위트 후쿠오카,호텔,5,긍정,0.925514221,"입지도 잘 실내 수영장, 야외 수영장 모두 있는 것이 좋다",긍정
14,호텔 오리엔탈 익스프레스 후쿠오카 나카스카와바타,호텔,5,긍정,0.978036702,"방 크기는 정말 작았어요! 큰캐리어 2개펼치니 딱 사람이 지나다닐정도 밖에 안남더라고요ㅎㅎ침실은 싱글침대 2개 붙여서 어른둘에 아이한명 잤는데 괜찮았어요!! 저는 중간에서 잤는데 예민하신분 아니라면 편히주무실듯해요! 숙소에서 도보 10분안에 패밀리마트,세븐일레븐,로손 다 있고 나카스카와바타지하철역도 도보 10분 안걸린것같아요. 아무튼!! 숙소는 작았지만 카운터직원분이 몹시 친절하셨고, 냉장고에 물도 없지만 편의점이…",긍정
15,ANA 크라운 플라자 호텔 후쿠오카,호텔,1,긍정,0.845318079,심야부터 아침까지 계속 사람의 목소리가 울려 천천히 할 수 없었습니다. 주위의 숙박자에게도 축복받지 않고 기대 밖의 숙박이 되었습니다.…,부정
16,미야코 호텔 하카타,호텔,5,긍정,0.717097759,하카타역 치쿠시구치에서 도보 1분 정도. 입지는 최고. 방은 매우 깨끗합니다. 아침 식사는 뷔페가 아닙니다.…,긍정
17,The Luigans Spa＆Resort,호텔,5,부정,0.648653626,전망과 레스토랑은 좋았지만 수영장 크기가 너무 작았어요,긍정
18,머큐르 후쿠오카 무나카타 리조트 & 스파,호텔,5,부정,0.944173217,픽업이 필요하면 어떻게 되는지 확인해 주세요,긍정
19,퀸테사 호텔 후쿠오카 텐진 코믹앤북스,호텔,5,긍정,0.952600658,객실은 크지않고 서비스는 좋습니다 중심지라 어디로든 다 갈 수 있어 편하고 좋았습니다,긍정
20,Hotel AZ Fukuoka Wajiro,호텔,5,부정,0.971127391,"서비스, ​​비용은 불평! 후쿠오카 중심부에서 조금 있습니다.",긍정
21,후쿠오카 산팔레스 호텔 & 홀 (Fukuoka Sunpalace),호텔,1,긍정,0.928145647,"아스카 라이브 오랜만에 아스카 씨를 만나는 것이 좋았고, 항상 걱정스러운 사람들입니다.",부정
22,후루유 온천 온크리,료칸,3,부정,0.744441271,"기념일에 이용 받았습니다. 깨끗하고 눈에 띄기 때문에 언젠가 가고 싶었지만, 다음은 조금 생각합니다. 방에는 인원수의 온천이 없고, 처음부터 환영받지 못한 느낌이 들고 유감.…",
23,WITH THE STYLE FUKUOKA,호텔,5,긍정,0.995482445,"60명 규모의 결혼식을 들었습니다! 식 전후부터 많은 서비스를 제공해 주셔, 매우 만족하고 있습니다! 특히, 채플이나 피로연회장의 류알의 영향도 있어, 개방적이고 리조트 기분을 체험할 수 있었습니다! 또, 당일은 비가 내리고 있었습니다만, 기후에 좌우되지 않는 회장 때문에, 끝까지 즐길 수 있었습니다!",긍정
24,APA Hotel Hakata Eki Chikushiguchi,호텔,2,부정,0.604135573,"객실은 배리어 프리 대응으로 좋다고 생각했습니다만 깃털 이불의 날개? 이나 소품 등 쓰레기가 바닥에 떨어지고 있어 클린네스는 불충분, 옷걸이가 망가지고 있는데 방치되어 있어 전혀 도움이 되는 만일 상처를 할 가능성도 있었기 때문에 직원을 불러 철거해 준 ❗그리고 에어컨의 오토루퍼-의 위치에 의해, 이음이 되어 밤중에 잠들 수 없었다. 요 전날 이용하신 히로시마의 아파 호텔에 비하면 끔찍하다고 해도 지나치지 않다고 생각합니다. 아침 식사 회장의 직원의 분들의 대응에 대해서는 약간의 걱정이 느껴져 매우 좋았던 만큼 물론 아니다.",부정
25,APA Hotel Hakata Eki Chikushiguchi,호텔,1,부정,0.967720628,"이 호텔의 여성 직원, 이름은 나카야마… 무엇을 질문해도 무시, 가볍게 물어보면 조금 기다려 주세요… 뭐야 호텔이다! ️ 뭐 교육이야! ️ 이런 호텔에 묵고 싶지 않아 😡…",부정
26,미쓰이 가든 호텔 후쿠오카 기온,호텔,1,부정,0.994935572,상당히 좁은 구조입니다. 가격으로는 손해를 입는 감각이 될지도 모릅니다. WI FI가 느리고 전혀 사용할 수 없습니다. 연결되어도 중단되는 경우가 많습니다.…,부정
27,호텔 마이스테이스 후쿠오카 텐진,호텔,3,긍정,0.655027986,"교통이 편리한 위치에 있으며, 객실은 다소 작습니다.",
28,아미스타드호텔 후쿠오카,호텔,2,부정,0.974471927,조식은 봉투에 넣어서 문고리에 걸어두는데 샌드위치이고 매일 같습니다. 안먹었어요. 작고 청소상태는 별로였어요. 직원들은 친절했어요.,부정
29,Japanesque Hotel Fukuoka,호텔,1,부정,0.996957064,"프런트에 사람(바이트)이 있을 만큼의 민박. 체크인 시 스파 이용 불가의 취지 설명 없음. 스파, 사우나가 목적으로 일부러 이 입지의 숙소로 했는데 사용 불가, 유일하게 사용할 수 있다고 안내된 옥외의 사우나도 열어 놓아 청소 없음의 상태. 이것이라면 체크인 전에 돈을 지불해도 취소하는 레벨. 대응에 성의가 없다. 방에 들어간 순간 발밑에 무언가가 접했지만, 전의 손님의 털옥(무슨 말인지 모르겠네요, 머리가 둥글게 되어 구슬이 된 상태의 것입니다)가 나왔습니다. 포장입니다.",부정
30,그랜드 머큐어 벳푸완 리조트 & 스파,료칸,1,긍정,0.64145565,"지난달 리조트 키티룸에 숙박했습니다. 아이는 매우 기뻤습니다만, 어른으로부터 보면 조금 넓은 비즈니스 호텔을 리노베했을 뿐.…",부정
31,더 레지덴셜 스위트 후쿠오카,호텔,1,부정,0.581130087,"화장실? 목욕? 의 문 닫히지 않고, 욕실 어둡습니다 프런트가 친절하기 때문에, 방은 어쨌든 유감입니다 ...",부정
32,신 이즈카 스테이션 호텔,호텔,3,부정,0.514697134,"호텔 앞은 이즈카 병원 때문에, 구급차의 소리, 뒤는 전철의 소리로 잠들 수 없다. 주차장이 적고, 입체 주차장에 정차해야 하며, 하루 400엔 필요. 유일한 좋은 것은 1층 빵이 맛있다.",
33,Hotel Cultia Dazaifu,호텔,5,긍정,0.993831515,"풍치가 있어, 식사도 맛있고 스탭도 매우 정중했습니다. 멋진 시간을 보낼 수있었습니다. 고마워요 🙏…",긍정
34,산라이프호텔 2.3,호텔,5,부정,0.567300141,각종 접근은 뛰어나다 영수증은 순조롭게 나오지 않는다,긍정
35,HOTEL MYSTAYS Fukuoka Tenjin Minami,호텔,2,부정,0.939811409,"객실은 괜찮고 편의시설도 나쁘지 않습니다. 시내에 위치해 있어 번잡합니다. 자가용을 이용하신다면 주차가 매우 어려워 추천하지 않습니다. 특히 주말에는 주차가 정말 힘듭니다. 주차 공간이 제한적이라는 사실(4대 정도밖에 없는 것 같습니다)을 미처 몰랐는데, 광고 내용이 오해의 소지가 있었습니다. 광고에는 주차 공간이 있다고만 나와 있었고, 프런트 데스크에 따르면 사전 예약이 필수였습니다.…",부정
36,후루유 온천 온크리,료칸,5,긍정,0.99437511,"정말 만족스러웠습니다. 멋진 산 전망의 객실에서 편안하고 평화로운 시간을 보낼 수 있었습니다. 서비스도 훌륭했고, 모든 직원분들이 항상 친절하고 미소로 대해주셔서 좋았습니다. 모든 분들께 이 호텔을 강력 추천합니다.",긍정
37,더 레지덴셜 스위트 후쿠오카,호텔,5,긍정,0.991971016,엄청 방이 넓고 편안합니다. Zepp나 페이페이 돔에도 가깝고 시설도 충실. 숙박해야합니다!,긍정
38,ANA 크라운 플라자 호텔 후쿠오카,호텔,5,긍정,0.606040061,실수가 있었지만 과도한 대응 해 주셔서 죄송합니다. 또 기회가 있으면 이용하고 싶습니다. 고맙습니다.,긍정
39,니시테츠 그랜드 호텔,호텔,5,긍정,0.967176378,어우 어느 호텔에서 이런 대접을 받아볼까요? 제가 뭐라도 된양 의전을 받는 느낌이 들었습니다. 리셉션에서 체크인하고 체크아웃 하는 그 순간까지 아주 만족스러웠습니다.,긍정
40,후쿠오카 토에이 호텔,호텔,5,긍정,0.9926669,"환대가 간단하고 매우 좋았습니다. 동남아시아로부터 4년만의 일시 귀국으로 5박했습니다. 방은 넓고 차나 간식을 할 수 있는 정도의 의자와 테이블세트가 있어, 벽걸이의 책상도 폭넓고 책상용 의자가 2개 있었습니다. TV도 컸습니다. 전체적으로 쇼와감이 있어 친가에 돌아온 것 같은 그리운 기분이 되었습니다. 욕실도 넓고 깨끗하고 매우 편안했습니다. 방에는 티컵이 있습니다만 스푼이나 포크는 없기 때문에 다이소에서 샀습니다.…",긍정
41,도큐스테이 하카타,호텔,1,긍정,0.615048647,我完全沒有用過雪櫃是 完全雪不了食品|室內溫溫也比雪櫃內冰凍|房的房型｜雪櫃配搭是必須｜可能雪糕要求過高｜但連基本的冷凍也沒有｜還有地點環境駕車人士｜絕對不方便｜沒有停車場也沒有門外上落客區域｜｜have never used a refrigerator at all. It cannot freeze food at all.|The indoor temperature is also colder than inside the refrigerator|As a…,부정
42,Hotel Grèges,호텔,5,긍정,0.986212015,경치도 좋고 요리도 맛있다,긍정
43,The OneFive Marine Fukuoka,호텔,1,부정,0.998084307,"이곳은 낡고 허름해서 당장이라도 철거해야 할 것 같은 비즈니스 호텔입니다. 방 안의 모든 물건에 얼룩이 묻어 있었습니다. 저는 보통 호텔 바닥이 더러운 것에 신경 쓰지 않지만, 이번에는 양말을 신었음에도 발을 디딜 수 없을 정도로 카펫이 더러웠습니다. 마치 수백 년 된 것처럼 보였습니다. ||침대도 잠자는 용도보다는 땔감으로 쓰는 게 나을 것 같았습니다. 낡은 스프링 매트리스는 스프링이 그대로 튀어나와 있어서 누우면 삐걱거리는…",부정
44,몬탄 하카타 호스텔,호텔,5,긍정,0.989290059,친절하고 깨끗합니다 1층이 너무 좋았어요 위치가 조금 아쉬운데 나쁘지 않습니다,긍정
45,더 밀레니얼스 후쿠오카,호텔,5,긍정,0.992902577,"개인적으로 진짜 만족 좁다고 생각할 수 있는데 반대로 생각하면 모든 물건이 손에 닿아서 일어날 필요 없음 누워서 생활가능 후쿠오카 호텔 좁아서 캐리어 필 자리도 없다는데 여기는 침대 밑에 캐리어 펼칠공간이 있어서 좋음 (엄청 큰 케리어 아니면 넉넉할듯) 침대에 매달려서(?) 캐리어 정리할 수 있어서 진짜 편했음 누워서 해결가능 여성전용 이용했는데 거의 20~30대 한국인 여성임 진짜 조용하고 매너 좋음 지퍼소리, 침대 내려가는 소리, 커튼 닫는 소리 정도? 새벽 두시까지 잠 안와서 깨어있었는데 코고는 소리도 안났음 룸 컨디션은 조금 건조하고 공기청정기 때문에 좀 추움 위치가 하카타랑 텐진 딱 가운데 있는데 호텔에서 자전거 빌려줌 무료인지는 모르겠는데 쇼핑 많이 안할고라면 자전거로 이동하기 딱임 나는 마지막날 자전거를 발견해서 매일 걸어다님 ….ㅠㅠㅠㅠ",긍정
46,후쿠오카 산팔레스 호텔 & 홀 (Fukuoka Sunpalace),호텔,5,부정,0.660473108,직원의 걱정을 느꼈습니다.,긍정
47,Kiyonoya,료칸,3,부정,0.746913195,"500엔의 들러 입욕으로 갔습니다. 온천 총선거에서 가능한 피부 부문 전국 1위라는 것으로 기대해 갔습니다만. . 샘질은 확실히 좋았습니다만, 들르는 것은 별로 환영받고 있지 않다고 할까, 접객이 조금 차가운 느낌이 들었습니다. 자란의 평가는 좋기 때문에 숙박객에게 힘을 쏟고 있는 것입니다. 입욕 후도 드라이어가 불꽃이 흩어질 정도로 망가지고 있는 것을 전했는데, 지배인 분은 ​​걱정을 하는 것 같은 흔들림도 하지 않고 알았습니다의 한마디. 치쿠고가와 온천의 온천은 훌륭하지만 유명하지 않은 이유가 왠지 알게 된 것 같았습니다. 온천도 솔직히 여기 이상으로 좋은 온천을 알고 있기 때문에 감동까지는 가지 않았습니다. 대욕장도 내 목욕만으로 넓지는 않기 때문에 천천히는 넣지 않았습니다.",
48,힐튼 후쿠오카 씨호크,호텔,1,부정,0.9133991,"숙박중에 열과 두통으로 잠을 잘 수 없게 되어 카운터에 방문했더니, 법률상으로 약을 건네줄 수 없다고 했습니다. 냉매제는 근처의 편의점에 하나도 없고, 프런트의 분은 자양제를 추천해 주었습니다. 결국, 스스로 연락을 취해, 걸어 병원까지 왔습니다.…",부정
49,힐탑리조트 후쿠오카,호텔,2,부정,0.955237806,"이 호텔을 두 번째 방문했습니다. 첫 번째 방문은 정말 좋았습니다. 하지만 두 번째 방문은 실망스럽습니다. 호텔이 낡아가고 있고, 제가 이곳을 찾는 이유 중 하나는 조식 뷔페 때문인데… 이제는 조식 뷔페를…",부정
50,JAM HOSTEL博多駅前,게스트하우스,3,부정,0.747956693,"후쿠오카는 대부분 이런가 가격은 다른데보단 비싼데 시설은 다른데랑 비슷... 위치랑 서비스는 괜찮은데 옆방 코고는 소리, 근처에 전철 지나가는소리 등등 다들림 작은 다이닝룸이 있는데 여기서 이것저것 먹긴 괜춘",
51,Hotel AZ Fukuoka Wajiro,호텔,1,부정,0.958176911,리셉션 오바 씨는 꽤 느낌이 좋지 않았습니다.,부정
52,베셀호텔 후쿠오카 카이즈카,호텔,3,긍정,0.519820869,객실 좋음 장소 비명 프런트의 대응에 조금 이라 붙었다.,
53,니시테츠 인 후쿠오카,호텔,5,부정,0.694481134,방은 괜찮았는데 위치가 좀 찾기 어려웠어요,긍정
54,Hotel Live Max Fukuoka Tenjin West,호텔,5,긍정,0.927318573,"두 번째 숙박인데, 이번에는 하룻밤만 묵었습니다. 번화가까지 걸어갈 수 있는 좋은 위치입니다. 공항까지 택시비는 약 3000엔입니다. 2024년 10월 17일. SK",긍정
55,그랜드 머큐어 벳푸완 리조트 & 스파,료칸,1,부정,0.967488706,"방은 이미지와 완전히 다르고, 아직, 러브 호텔 쪽이 설비가 좋고, 예약해 기대해 왔는데, 게다가, 전날에는, 제대로 저녁 먹을 수 있을지도 확인이 끝난 🐥('-' 🐥)(⚲□⚲) 그런데 저녁을 먹지 못하고 편의점 🏪 도시락 먹기 시작하기 🍱…",부정
56,후쿠오카 산팔레스 호텔 & 홀 (Fukuoka Sunpalace),호텔,1,긍정,0.807765543,주위를 빙빙 돌았습니다만… 거의 가게는 보이지 않았습니다. 선 팰리스의 레스토랑과 옆에있는 국제 회의장의 카페에서 시간을 잡을 수밖에 없을 것 같습니다 (^^;,부정
57,APA Hotel Hakata Eki Chikushiguchi,호텔,5,부정,0.959466398,숙소가 너무 협소함,긍정
58,베셀호텔 후쿠오카 카이즈카,호텔,4,긍정,0.626953125,"욕실에는 화장실이 동실입니다만, 세면대는 욕실의 밖에 있는 곳이 편리합니다",긍정
59,湧水千石の郷,료칸,5,긍정,0.963506579,바이킹은 정말 맛있는 것뿐! !,긍정
60,캐널시티 후쿠오카 워싱턴 호텔,호텔,1,긍정,0.611388266,이웃 중국인? 하지만 몹시 시끄러웠습니다_:(´ཀ`」 ∠):그리고 유닛 버스의 커튼이 무섭게 냄새가 났습니다. 죄송합니다,부정
61,다이와 로이넷 호텔 후쿠오카 - 니시나카스,호텔,5,긍정,0.992445529,시설도 깨끗하고 직원도 친절해서 좋아요♡,긍정
62,미야코 호텔 하카타,호텔,5,부정,0.983100295,"호텔에 두 번 이메일을 보내 예약 확인을 요청했는데, 일주일 넘게 답장이 없습니다. 빠른 시일 내에 처리해 주시면 감사하겠습니다. 죄송합니다. 스팸 폴더에서 답장을 찾았습니다.…",긍정
63,포포인츠 바이 쉐라톤 후쿠오카,게스트하우스,5,긍정,0.98697716,스미요시 신사 근처에서 조용. 방도 깨끗하고 좋은 분위기.,긍정
64,그랜드 머큐어 벳푸완 리조트 & 스파,료칸,1,부정,0.98910135,"거의 외국인 뿐이고, 뷔페도 기대 밖으로 외국인을 위한 것 같았습니다. 요리는 맛있다고 생각하지 않았습니다. 다시 가고 싶다고 생각하지 않는 곳입니다.",부정
65,야마모토 료칸,료칸,3,부정,0.508171856,"우선 장소의 장점과 가격의 저렴함이 좋습니다. 숙소는 자는 만큼의 장소, 라고 나누고 있는 사람이나, 쇼와 레트로를 즐기고 싶은 사람에게 추천입니다. 어려움은 괜찮습니다. 자신이 묵은 방뿐일지도 모릅니다만, 왠지 잘 모르는 케미컬적인 냄새가 있다(곧 익숙합니다만)밖의 도로의 소리가 엄청 울린다, 개가 캔캔 5월 뿜어져, 탈의소가 좁고 대단한 사람은 사용할 수 없을지도, 이불은 잠 기분은 나쁘지 않았지만 처음에 축축했기 때문에, 에어컨을 귀마개는 가져가는 것이 좋습니다. 자신은 없었기 때문에 곧 근처의 편의점에서 샀습니다. 드라이어가 너무 약하기 때문에, 자신의 물건을 반입하는 것이 좋을지도 모릅니다. 라고, 여러가지 썼습니다만 편리성의 장점과 가격의 저렴함으로부터, 향후도 후쿠오카에서 묵을 것이 있으면 여기를 선택할까. 미로처럼 혼돈스러운 숙소 만들기도 두근두근하는 여정을 느끼기 때문에 나는 좋아합니다.",
66,호텔 오리엔탈 익스프레스 후쿠오카 텐진,호텔,5,긍정,0.985955298,주위에 상점 및 식당이 많고 텐진역에서 접근성이 훌륭합니다. 임시로 짐을 맡길 수 있는 시설이 있습니다. 방은 좁으나 짐을 펼칠수 있는 공간은 충분합니다.,긍정
67,Golden Guest House Hakata,게스트하우스,1,부정,0.969239056,"아고다에서 예약했습니다만, 사진의 방과는 내장도 베팅도 모두가 다른 방이었습니다. 별다른 차이에 호텔을 잘못했다고 생각할 정도로 충격이었습니다. 다른 쪽이 써 있는 리뷰를 발견했습니다만, 3F의 방을 할당할 수 있으면(자), 전혀 다른 방이라고. 2F의 방을 확인할 수 없기 때문에, 2F가 사진대로인지는 불명합니다.",부정
68,힐튼 후쿠오카 씨호크,호텔,4,긍정,0.556167364,호텔 주변에 타워와 돔이 있고 모모치 해변을 바라보는 풍경도 좋았지만 와이파이 서비스 유료가 마음에 안든다.,긍정
69,ANA 크라운 플라자 호텔 후쿠오카,호텔,1,긍정,0.688070297,"이것 실화입니다. 창문에서는 배관 view의 희미한 방으로 안내되어 어색하다고 생각했더니, 화장실 뚜껑을 열면 크고 작은 머리카락이 몇 개 들어 있었다.…",부정
70,호텔 몬토레 라 스루 후쿠오카,호텔,5,긍정,0.980590641,리셉션직원은 친절합니다. 체크인전에 가방을 보관할 수 있습니다. 객실은 좁은편이지만 아주 깨끗합니다.,긍정
71,WITH THE STYLE FUKUOKA,호텔,5,긍정,0.986759722,도시의 리조트 현실을 잊을 수 있기 때문에 좋다. 술의 가격은 다소 높지만 분위기료라고 생각하면 싸다.,긍정
72,호텔 닛코 후쿠오카,호텔,1,부정,0.995359361,"수석 남자의 앞 직원의 태도가 최악이었다. 이 호텔은 체크아웃할 때 지불한다(내가 묵었던 당시)를 몰랐던 나는 지불에 대해 묻었습니다만, 좌우에 머리를 흔들면서, 「나중에」만 돌아왔습니다.…",부정
73,베스트 웨스턴 플러스 후쿠오카 텐진-미나미,호텔,2,부정,0.932901978,"장소, 객실, 가격은 납득으로 마음에 들었지만 청소와 프런트의 대응이 이마이치였다. 3일간 이용했지만,…",부정
74,호텔 오리엔탈 익스프레스 후쿠오카 나카스카와바타,호텔,2,부정,0.978286803,"체크인할 때 직원이 음료 쿠폰을 주지 않았습니다. 저는 4일 동안 오리엔탈 익스프레스 호텔 세 곳에 묵어본 경험이 있어서 어떤 서비스가 제공되는지 잘 알고 있습니다. 매니저인 마차모도 씨에게 이야기했더니 직원의 실수를 사과하고 쿠폰을 주었습니다. 체크인할 때 왜 이 부분을 놓쳤는지 이해가 안 가고, 직원의 태도도 좀 불친절했습니다. 오리엔탈 호텔 중 가장 비싼 곳인데, 가격 대비 서비스는 최악이었습니다. 마지막으로, 객실에…",부정
75,포포인츠 바이 쉐라톤 후쿠오카,게스트하우스,1,부정,0.989083469,프런트의 남자 두 명 정도 있지만 대응 너무 나쁘다,부정
76,杜の七種,호텔,5,긍정,0.992275298,"후쿠오카에서 최고인 숙박 체험을 했습니다. 방은 넓고 깨끗하고, 이웃 방과도 인접하지 않기 때문에 소리는 거의 들리지 않는, 정원에는 멋진 자쿠지와 그네와 의자가 있고, 방 안에도 자쿠지가있는 욕조 있습니다. 침대도 푹신하고 기분 좋고 아침 식사는 방까지 가져와 먹을 수 있습니다. 정원도 산책하기에는 최고로, 포도도 되고 있거나, 멋진 채플이 있거나. 엇갈리는 ​​분 여러분 친절하고 정말로 즐길 수 있었습니다. 다시 가겠습니다.",긍정
77,도미 인 프리미엄 하카타 캐널시티 마에,호텔,1,부정,0.992904365,온천이라는 느낌은 전혀 들지 않았다.,부정
